BLOCKID|COUNTYFP|DISTRICT
240010010001076|001|23-000
240010010001077|001|23-000
240010010001078|001|14-000
240010010002000|001|14-000
240010010002001|001|14-000
240010010002002|001|14-000
240010010002003|001|14-000
240010010002004|001|14-000
240010010002005|001|14-000
240010010002006|001|14-000
240010010002007|001|14-000
240010010002008|001|14-000
240010010002009|001|14-000
240010010002010|001|14-000
240010010002011|001|14-000
240010010002012|001|14-000
240010010002013|001|14-000
240010010002014|001|14-000
240010010002015|001|14-000
240010010002016|001|14-000
240010010002017|001|14-000
240010010002018|001|14-000
240010010002019|001|14-000
240010010002020|001|14-000
240010010002021|001|14-000
240010010002022|001|14-000
240010010002023|001|14-000
240010010002024|001|14-000
240010010002025|001|14-000
240010010002026|001|14-000
240010010002027|001|14-000
240010010002028|001|14-000
240010010002029|001|14-000
240010010002030|001|14-000
240010010002031|001|14-000
240010010002032|001|14-000
240010010002033|001|14-000
240010010002034|001|14-000
240010010002035|001|14-000
240010010002036|001|14-000
240010010002037|001|14-000
240010010002038|001|14-000
240010010002039|001|14-000
240010010002040|001|14-000
240010010002041|001|14-000
240010010002042|001|14-000
240010010002043|001|14-000
240010010002044|001|14-000
240010010002045|001|14-000
240010010002046|001|14-000
240010011001000|001|06-001
240010011001001|001|06-001
240010011001002|001|06-001
240010011001003|001|06-001
240010011001004|001|06-001
240010011001005|001|06-001
240010011001006|001|06-001
240010011001007|001|06-001
240010011001008|001|06-001
240010011001009|001|06-001
240010011001010|001|06-001
240010011001011|001|06-001
240010011001012|001|06-001
240010011001013|001|06-001
240010011001014|001|06-001
240010011001015|001|06-001
240010011001016|001|06-001
240010011001017|001|06-001
240010011001018|001|06-003
240010011001019|001|06-003
240010011001020|001|06-003
240010011001021|001|06-003
240010011001022|001|06-003
240010011001023|001|06-003
240010011001024|001|06-001
240010011001025|001|06-001
240010011001026|001|06-001
240010011001027|001|06-001
240010011001028|001|06-001
240010011001029|001|06-003
240010011001030|001|06-003
240010011001031|001|06-003
240010011002000|001|06-001
240010011002001|001|06-001
240010011002002|001|06-001
240010011002003|001|06-001
240010011002004|001|06-001
240010011002005|001|06-001
240010011002006|001|06-001
240010011002007|001|06-001
240010011002008|001|06-001
240010011002009|001|06-001
240010011002010|001|06-001
240010011002011|001|06-001
240010011002012|001|06-001
240010011002013|001|06-001
240010011002014|001|06-001
240010011002015|001|06-001
240010011002016|001|06-001
240010011002017|001|06-001
240010011002018|001|06-001
240010011002019|001|06-001
240010011002020|001|06-001
240010011002021|001|06-003
240010011002022|001|06-001
240010011002023|001|06-001
240010011002024|001|06-001
240010011002025|001|06-003
240010011002026|001|06-003
240010011002027|001|06-003
240010011002028|001|06-003
240010011002029|001|06-003
240010011002030|001|06-003
240010011002031|001|06-003
240010011002032|001|06-003
240010011002033|001|06-003
240010011002034|001|06-003
240010011002035|001|06-003
240010012001000|001|06-003
240010012001001|001|06-003
240010012001002|001|06-003
240010012001003|001|06-003
240010012001004|001|06-003
240010012001005|001|06-003
240010012001006|001|06-003
240010012001007|001|06-003
240010012001008|001|06-003
240010012001009|001|06-005
240010012001010|001|06-003
240010012001011|001|06-003
240010012001012|001|06-003
240010012001013|001|06-003
240010012001014|001|06-003
240010012001015|001|06-003
240010012001016|001|06-003
240010012001017|001|06-003
240010012001018|001|06-005
240010012001019|001|06-005
240010012001020|001|06-003
240010012001021|001|06-005
240010012001022|001|06-005
240010012001023|001|06-005
240010012001024|001|06-005
240010012001025|001|06-005
240010012001026|001|06-005
240010012001027|001|06-005
240010012001028|001|06-003
240010012001029|001|06-003
240010012001030|001|06-003
240010012001031|001|06-003
240010012001032|001|06-003
240010012001033|001|06-003
240010012001034|001|06-005
240010012001035|001|06-005
240010012001036|001|06-006
240010012001037|001|06-006
240010012001038|001|06-003
240010012001039|001|06-003
240010012001040|001|06-003
240010012001041|001|06-003
240010012002000|001|06-099
240010012002001|001|29-001
240010012002002|001|29-001
240010012002003|001|06-005
240010012002004|001|29-003
240010012002005|001|29-001
240010012002006|001|29-003
240010012002007|001|29-003
240010012002008|001|29-003
240010012002009|001|06-005
240010012002010|001|06-006
240010012002011|001|06-005
240010012002012|001|06-005
240010012002013|001|06-005
