BLOCKID|DISTRICT
240010013002017|01B
240010013002018|01B
240010013002019|01B
240010013002020|01B
240010013002021|01B
240010013002022|01B
240010013002023|01B
240010013002024|01B
240010013002025|01B
240010013002026|01B
240010013002027|01B
240010013002028|01B
240010013002029|01B
240010013002030|01B
240010013002031|01B
240010014011000|01B
240010014011001|01B
240010014011002|01B
240010014011003|01B
240010014011004|01B
240010014011005|01B
240010014011006|01B
240010014011007|01B
240010014011008|01B
240010014011009|01B
240010014011010|01B
240010014011011|01B
240010014011012|01B
240010014011013|01B
240010014011014|01B
240010014011015|01B
240010014011016|01B
240010014011017|01B
240010014011018|01B
240010014011019|01B
240010014011020|01B
240010014011021|01B
240010014011022|01B
240010014011023|01B
240010014011024|01B
240010014011025|01B
240010014011026|01B
240010014011027|01B
240010014011028|01B
240010014011029|01B
240010014011030|01B
240010014011031|01B
240010014011032|01B
240010014011033|01B
240010014011034|01B
240010014011035|01B
240010014012000|01B
240010014012001|01B
240010014012002|01B
240010014012003|01B
240010014012004|01B
240010014012005|01B
240010014012006|01B
240010014012007|01B
240010014012008|01B
240010014012009|01B
240010014012010|01B
240010014012011|01B
240010014012012|01B
240010014012013|01B
240010014012014|01B
240010014012015|01B
240010014012016|01B
240010014012017|01B
240010014012018|01B
240010014012019|01B
240010014012020|01B
240010014012021|01B
240010014012022|01B
240010014012023|01B
240010014012024|01B
240010014012025|01B
240010014012026|01B
240010014012027|01B
240010014012028|01B
240010014012029|01B
240010014012030|01B
240010014012031|01B
240010014012032|01B
240010014012033|01B
240010014012034|01B
240010014012035|01B
240010014012036|01B
240010014012037|01B
240010014012038|01B
240010014012039|01B
240010014012040|01B
240010014012041|01B
240010014012042|01B
240010014012043|01B
240010014012044|01B
240010014021000|01B
240010014021001|01B
240010014021002|01B
240010014021003|01B
240010014021004|01B
240010014021005|01B
240010014021006|01B
240010014021007|01B
240010014021008|01B
240010014021009|01B
240010014021010|01B
240010014021011|01B
240010014021012|01B
240010014021013|01B
240010014021014|01B
240010014021015|01B
240010014021016|01B
240010014021017|01B
240010014021018|01B
240010014021019|01B
240010014021020|01B
240010014021021|01B
240010014021022|01B
240010014021023|01B
240010014021024|01B
240010014021025|01B
240010014021026|01B
240010014021027|01B
240010014021028|01B
240010014021029|01B
240010014021030|01B
240010014021031|01B
240010014021032|01B
240010014021033|01B
240010014021034|01B
240010014021035|01B
240010015021000|01B
240010015021001|01B
240010015021002|01B
240010015021003|01B
240010015021004|01B
240010015021005|01B
240010015021006|01B
240010015021007|01B
240010015021008|01B
240010015021009|01B
240010015021010|01B
240010015021011|01B
240010015021012|01B
240010015021013|01B
240010015021014|01B
240010015021015|01B
240010015021016|01B
240010015021017|01B
240010015021018|01B
240010015021019|01B
240010015021020|01B
240010015021021|01B
240010015021022|01B
240010015021023|01B
240010015021024|01B
240010015021025|01B
240010015021026|01B
240010015021027|01B
240010015021028|01B
240010015021029|01B
240010015021030|01B
240010015021031|01B
240010015021032|01B
240010015021033|01B
240010015021034|01B
240010015021035|01B
240010015021036|01B
240010015021037|01B
240010015021038|01B
240010015021039|01B
240010015021040|01B
240010015021041|01B
240010015021042|01B
240010015021043|01B
240010015021044|01B
240010015021045|01B
240010015021046|01B
240010015021047|01B
240010015021048|01B
240010015021049|01B
240010015021050|01B
240010015021051|01B
240010015021052|01B
240010015021053|01B
240010015021054|01B
240010015021055|01B
240010015021056|01B
240010015021057|01B
240010015021058|01B
240010015021059|01B
240010015021060|01B
240010015021061|01B
240010015021062|01B
240010015021063|01B
240010015021064|01B
240010015021065|01B
240010015021066|01B
240010015021067|01B
240010015021068|01B
240010015021069|01B
240010015021070|01B
240010015021071|01B
240010015021072|01B
240010015031000|01B
240010015031001|01B
240010015031002|01B
240010015031003|01B
240010015031004|01B
240010015031005|01B
240010015031006|01B
240010015031007|01B
240010015031008|01B
240010015031009|01B
240010015031010|01B
